2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;0;1;0;0;0;...;...;...;...;...;3;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;1;0;0;0;...;...;...;...;...;3;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;3;0;...;...;...;...;...;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;1;2;0;2;0;0;...;...;...;...;...;5;
LESÃO CORPORAL DOLOSA;12;6;6;14;15;14;12;...;...;...;...;...;79;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;19;10;21;19;13;15;10;...;...;...;...;...;107;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;1;0;0;0;...;...;...;...;...;1;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;...;...;...;...;...;1;
ESTUPRO;0;0;2;0;0;3;2;...;...;...;...;...;7;
ROUBO - OUTROS (1);48;31;43;39;66;67;60;...;...;...;...;...;354;
ROUBO DE VEÍCULO;5;7;6;2;4;5;7;...;...;...;...;...;36;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;...;...;...;...;...;0;
FURTO - OUTROS;63;59;126;104;95;75;96;...;...;...;...;...;618;
FURTO DE VEÍCULO;26;18;33;32;28;35;31;...;...;...;...;...;203;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;2;1;0;0;1;0;1;0;0;0;0;5;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;1;0;0;1;0;1;0;0;0;0;5;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;2;0;0;1;0;0;0;4;
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;0;0;1;
TENTATIVA DE HOMICÍDIO;2;0;0;0;0;0;0;0;1;2;0;0;5;
LESÃO CORPORAL DOLOSA;25;14;20;11;9;18;18;13;6;14;18;9;175;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;20;24;10;24;15;14;20;15;16;24;13;213;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;1;0;1;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;1;0;1;1;0;0;1;1;0;0;0;6;
ROUBO - OUTROS (1);39;39;26;41;39;32;32;59;67;76;80;48;578;
ROUBO DE VEÍCULO;7;12;5;10;12;9;6;6;12;18;19;13;129;
ROUBO A BANCO;0;0;0;0;0;0;0;0;1;0;0;0;1;
ROUBO DE CARGA;0;0;0;0;0;1;0;0;0;1;0;0;2;
FURTO - OUTROS;136;119;109;122;124;94;61;67;93;96;97;65;1.183;
FURTO DE VEÍCULO;33;47;42;23;28;18;26;15;20;16;33;30;331;

2013
