2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;1;0;0;1;1;2;...;...;...;...;...;6;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;1;0;0;1;1;2;...;...;...;...;...;6;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;1;1;0;1;1;...;...;...;...;...;6;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;1;2;2;1;0;1;...;...;...;...;...;7;
LESÃO CORPORAL DOLOSA;29;9;21;20;12;17;18;...;...;...;...;...;126;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;19;23;14;11;13;10;...;...;...;...;...;102;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;2;1;0;3;1;1;1;...;...;...;...;...;9;
ROUBO - OUTROS (1);17;12;22;20;19;21;24;...;...;...;...;...;135;
ROUBO DE VEÍCULO;7;3;10;3;9;3;4;...;...;...;...;...;39;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;...;...;...;...;...;0;
FURTO - OUTROS;34;39;48;48;44;45;44;...;...;...;...;...;302;
FURTO DE VEÍCULO;8;10;18;11;12;11;3;...;...;...;...;...;73;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);1;0;0;0;0;2;3;3;1;1;0;0;11;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;2;3;3;1;1;0;0;11;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;1;0;0;1;0;3;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;1;0;0;1;0;0;0;0;1;0;1;4;
LESÃO CORPORAL DOLOSA;43;33;14;22;14;18;27;17;20;34;16;11;269;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;9;13;12;14;13;16;13;9;5;25;13;154;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;2;0;1;0;0;1;2;0;5;2;0;14;
ROUBO - OUTROS (1);30;29;18;26;21;7;18;20;24;20;21;10;244;
ROUBO DE VEÍCULO;11;9;5;6;18;9;7;6;5;7;3;5;91;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;1;0;0;0;0;0;1;0;0;0;1;3;
FURTO - OUTROS;51;46;50;28;43;47;48;37;35;34;32;36;487;
FURTO DE VEÍCULO;11;16;9;15;7;8;22;7;9;5;4;18;131;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;1;2;1;0;0;1;2;1;1;9;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;3;1;0;0;1;2;1;1;10;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;1;0;1;0;2;5;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;2;1;0;0;1;0;1;0;1;2;1;0;9;
LESÃO CORPORAL DOLOSA;12;3;7;4;2;7;4;5;4;18;21;31;118;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;11;16;14;11;17;16;20;9;17;8;21;174;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;1;3;4;
ROUBO - OUTROS (1);15;19;17;28;27;23;24;11;31;21;16;11;243;
ROUBO DE VEÍCULO;7;6;6;3;2;2;4;8;11;9;10;12;80;
ROUBO A BANCO;0;1;0;0;0;0;0;0;0;0;0;0;1;
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;1;1;
FURTO - OUTROS;65;50;34;40;45;40;38;35;37;54;43;34;515;
FURTO DE VEÍCULO;30;16;8;12;6;13;12;8;14;14;11;4;148;

