2015
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;...;...;...;...;...;0;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;...;...;...;...;...;0;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;...;...;...;...;...;0;
LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ESTUPRO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO - OUTROS (1);0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO A BANCO;0;0;0;0;0;0;0;...;...;...;...;...;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;...;...;...;...;...;0;
FURTO - OUTROS;0;0;0;0;0;0;0;...;...;...;...;...;0;
FURTO DE VEÍCULO;0;0;0;0;0;0;0;...;...;...;...;...;0;

2014
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;

2013
Ocorrencia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;1;0;0;0;1;
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;
TENTATIVA DE HOMICÍDIO;1;0;1;1;0;0;1;1;0;0;0;0;5;
LESÃO CORPORAL DOLOSA;10;10;24;12;10;17;5;15;13;0;0;0;116;
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;3;1;2;0;0;1;0;0;0;0;7;
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ESTUPRO;1;0;1;0;1;1;0;2;1;0;0;0;7;
ROUBO - OUTROS (1);5;10;4;10;14;4;9;7;9;0;0;0;72;
ROUBO DE VEÍCULO;2;1;5;4;3;0;4;2;6;0;0;0;27;
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;
FURTO - OUTROS;3;5;3;3;7;9;5;3;7;0;0;0;45;
FURTO DE VEÍCULO;4;1;1;0;0;0;1;2;0;0;0;0;9;

